Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
30,Path of Exile,4,2016,1931932,58329 hours,15518,173,4580,2686,81,33.12
31,Rocket League,4,2016,1927872,172514 hours,34764,530,46316,2681,239,11.18
32,Tom Clancy's Rainbow Six Siege,4,2016,1649119,143717 hours,35253,409,22162,2293,199,11.47
33,Warcraft III,4,2016,1642346,19767 hours,26269,69,1311,2284,27,83.09
34,Super Mario Maker,4,2016,1582070,20592 hours,19580,66,1679,2200,28,76.83
35,Rust,4,2016,1482614,49774 hours,35447,178,5929,2062,69,29.79
36,DayZ,4,2016,1463084,54467 hours,18068,165,4623,2034,75,26.86
37,Dark Souls,4,2016,1447200,55440 hours,10717,207,8080,2012,77,26.1
38,Music,4,2016,1385974,29671 hours,6375,84,4633,1927,41,46.71
39,Black Desert Online,4,2016,1250981,68308 hours,6231,193,5959,1739,95,18.31
40,Diablo III,4,2016,1249251,68153 hours,25553,1323,9790,1737,94,18.33
41,Clash Royale,4,2016,1240824,23705 hours,80581,75,3420,1725,32,52.34
42,Quantum Break,4,2016,1235417,30206 hours,63330,433,6411,1718,42,40.9
43,ARK: Survival Evolved,4,2016,1203741,67496 hours,7857,177,5210,1674,93,17.83
44,Halo 5: Guardians,4,2016,1184381,76395 hours,22912,266,12042,1647,106,15.5
45,Pok<U+00E9>mon Omega Ruby/Alpha Sapphire,4,2016,1091637,25085 hours,6268,70,1715,1518,34,43.52
46,Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,4,2016,988314,18843 hours,8905,79,1113,1374,26,52.45
47,Super Smash Bros. for Wii U,4,2016,954356,18122 hours,27814,89,2271,1327,25,52.66
48,EA Sports UFC 2,4,2016,918946,44067 hours,25457,156,9661,1278,61,20.85
49,Stardew Valley,4,2016,844542,46361 hours,15377,150,6573,1174,64,18.22
50,Dungeons & Dragons,4,2016,819339,9012 hours,25383,56,869,1139,12,90.92
51,Paragon,4,2016,806251,70739 hours,11590,201,7794,1121,98,11.4
52,DOOM,4,2016,806087,19742 hours,36212,352,13816,1121,27,40.83
53,Ratchet & Clank,4,2016,780678,10301 hours,28323,117,8850,1085,14,75.79
54,Blade & Soul,4,2016,761429,48066 hours,3352,137,4183,1059,66,15.84
55,Fallout 4,4,2016,714409,130886 hours,6613,358,23518,993,182,5.46
56,Dark Souls II: Scholar of the First Sin,4,2016,674703,50095 hours,24271,245,8496,938,69,13.47
57,RimWorld,4,2016,661664,9387 hours,15443,37,888,920,13,70.49
58,Mortal Kombat X,4,2016,619352,27824 hours,19478,101,7296,861,38,22.26
59,Battleborn,4,2016,618883,20622 hours,32021,312,9999,860,28,30.01
60,Madden NFL 16,4,2016,604423,117677 hours,4509,458,18860,840,163,5.14
61,Garry's Mod,4,2016,601371,30163 hours,16341,114,6079,836,41,19.94
62,EVE Online,4,2016,598577,13566 hours,9119,39,1052,832,18,44.12
63,World of Warships,4,2016,579014,26901 hours,15376,76,2855,805,37,21.52
64,Gears of War 4,4,2016,549883,12195 hours,28073,183,2550,764,16,45.09
65,Battlefield 4,4,2016,545100,89014 hours,4711,254,18904,758,123,6.12
66,Subnautica,4,2016,522809,6764 hours,20610,35,1221,727,9,77.29
67,Dreadnought,4,2016,517495,3621 hours,61103,98,788,719,5,142.91
68,Kerbal Space Program,4,2016,517399,11636 hours,36181,45,1578,719,16,44.47
69,Team Fortress 2,4,2016,510682,29726 hours,7238,103,5181,710,41,17.18
70,osu!,4,2016,509016,64151 hours,4926,176,12579,707,89,7.93
71,MLB The Show 16,4,2016,505769,9580 hours,13656,43,5518,703,13,52.79
72,Sid Meier's Civilization V,4,2016,469211,9958 hours,22764,36,1487,652,13,47.12
73,Faeria,4,2016,450898,3260 hours,15354,15,384,627,4,138.31
74,Bloodborne,4,2016,446631,62170 hours,14173,233,11832,621,86,7.18
75,Tree of Savior,4,2016,435117,32798 hours,3942,117,2559,605,45,13.27
76,M.U.G.E.N,4,2016,425987,1489 hours,1642,5,45,592,2,286.09
77,The Binding of Isaac: Afterbirth,4,2016,420109,15077 hours,8685,57,2385,584,20,27.86
78,Summoners War: Sky Arena,4,2016,419666,12762 hours,11844,42,746,583,17,32.88
79,Factorio,4,2016,415444,18347 hours,24411,58,2117,577,25,22.64
80,Games + Demos,4,2016,407778,4117 hours,19213,19,838,567,5,99.05
81,Killer Instinct,4,2016,364261,11404 hours,13230,59,2833,506,15,31.94
82,Warframe,4,2016,349327,69858 hours,12654,218,11500,485,97,5
83,The Legend of Zelda: Ocarina of Time,4,2016,338777,11384 hours,9004,56,975,471,15,29.76
84,The Legend of Zelda: Majora's Mask,4,2016,330757,4337 hours,3633,20,401,460,6,76.26
85,Super Mario 64,4,2016,324963,7839 hours,8432,37,963,451,10,41.45
86,Yakuza 0,4,2016,323797,436 hours,8590,6,37,450,0,742.65
87,Heroes of Newerth,4,2016,322794,10034 hours,2826,33,683,448,13,32.17
88,Cities: Skylines,4,2016,321156,6960 hours,26427,28,1304,446,9,46.14
89,Final Fantasy XIV: Heavensward,4,2016,319118,39940 hours,5466,201,5694,443,55,7.99
90,Guild Wars 2,4,2016,318164,22436 hours,3550,65,2553,442,31,14.18
91,Tibia,4,2016,315786,12401 hours,1889,37,951,439,17,25.46
92,Golf With Your Friends,4,2016,315531,3537 hours,28581,24,1189,438,4,89.21
93,The Elder Scrolls Online,4,2016,315286,44127 hours,2478,120,6736,438,61,7.14
94,Slither,4,2016,309057,9262 hours,31516,54,3276,429,12,33.37
95,Vainglory,4,2016,308509,8999 hours,5814,29,613,429,12,34.28
96,The Elder Scrolls V: Skyrim,4,2016,306547,26348 hours,3192,71,3870,426,36,11.63
97,Final Fantasy X/X-2 HD Remaster,4,2016,270505,11434 hours,7066,39,1527,376,15,23.66
98,TrackMania Turbo,4,2016,269370,10261 hours,31418,55,2390,374,14,26.25
99,Knight Online,4,2016,266424,5572 hours,2560,23,452,370,7,47.81
100,Crossout,4,2016,265894,5336 hours,33198,29,608,369,7,49.83
101,Europa Universalis IV,4,2016,265691,7928 hours,7435,48,619,369,11,33.51
102,Retro,4,2016,260436,10704 hours,1187,31,825,362,14,24.33
103,Hyper Light Drifter,4,2016,256429,11517 hours,29068,120,2670,356,16,22.27
104,Twitch Plays,4,2016,248768,9098 hours,8066,17,91,345,12,27.34
105,Final Fantasy IX,4,2016,247122,15487 hours,3401,107,1964,343,21,15.96
106,HITMAN,4,2016,246511,10625 hours,23560,112,3055,342,14,23.2
107,The Witcher 3: Wild Hunt,4,2016,242565,36794 hours,4052,113,6529,337,51,6.59
108,Call of Duty: Black Ops II,4,2016,239771,27723 hours,2707,89,4239,333,38,8.65
109,Mad Max,4,2016,235314,7978 hours,7586,34,1664,327,11,29.5
110,MapleStory,4,2016,228242,12973 hours,1056,36,1019,317,18,17.59
111,War Thunder,4,2016,227896,24256 hours,15793,73,3855,316,33,9.4
112,Microsoft Flight Simulator X,4,2016,222912,15721 hours,2454,61,1107,310,21,14.18
113,Mario Party 10,4,2016,221591,154 hours,19830,6,53,308,0,1438.9
114,Town of Salem,4,2016,219964,4842 hours,20275,32,1227,305,6,45.43
115,Star Wars Battlefront,4,2016,216470,45101 hours,35256,155,0,301,62,4.8
116,Euro Truck Simulator 2,4,2016,213055,21521 hours,5318,94,3151,296,29,9.9
117,7 Days to Die,4,2016,212199,15614 hours,3993,52,1439,295,21,13.59
118,Farming Simulator 15,4,2016,209190,28703 hours,2073,99,3209,290,39,7.29
119,Overlord II,4,2016,203475,167 hours,17774,9,40,282,0,1218.41
120,Board Games,4,2016,201535,1049 hours,8994,16,134,280,1,192.12
121,The Legend of Zelda: A Link to the Past,4,2016,200281,4657 hours,9804,35,494,278,6,43.01
122,Grand Theft Auto: San Andreas,4,2016,198787,7511 hours,2599,31,1983,276,10,26.47
123,Agar.io,4,2016,198757,17992 hours,6655,62,3651,276,25,11.05
124,The Last of Us,4,2016,197329,29505 hours,12914,87,4984,274,41,6.69
125,Casino Games,4,2016,197206,3153 hours,2053,14,251,274,4,62.55
126,Worms Revolution,4,2016,194224,477 hours,34602,9,177,270,0,407.18
127,Dark Souls II,4,2016,187838,11854 hours,5830,54,2270,261,16,15.85
128,Terraria,4,2016,181604,19982 hours,1912,69,4023,252,27,9.09
129,ARK: Survival Of The Fittest,4,2016,180911,10980 hours,4345,34,1222,251,15,16.48
130,Breaking Point,4,2016,176391,1251 hours,17018,11,159,245,1,141
131,Tower Unite,4,2016,173727,752 hours,34350,13,234,241,1,231.02
132,RollerCoaster Tycoon World,4,2016,172269,2864 hours,10836,40,614,239,3,60.15
133,Chowderchu,4,2016,170847,90 hours,15249,9,32,237,0,1898.3
134,WWE 2K16,4,2016,170646,27427 hours,3196,106,4985,237,38,6.22
135,Geometry Dash,4,2016,165336,15261 hours,2880,61,2254,229,21,10.83
136,Heroes of Might and Magic III: The Shadow of Death,4,2016,163388,2487 hours,1575,13,166,227,3,65.7
137,Infestation: Survivor Stories,4,2016,163095,13742 hours,1024,66,1099,226,19,11.87
138,Mario Kart 8,4,2016,161946,4869 hours,14993,27,1054,225,6,33.26
139,Just Survive,4,2016,159682,9371 hours,2462,36,1240,222,13,17.04
140,Gears of War: Ultimate Edition,4,2016,159608,15519 hours,9910,84,3405,221,21,10.28
141,Undertale,4,2016,158554,15642 hours,4206,58,3426,220,21,10.14
142,Layers of Fear,4,2016,157692,5942 hours,13213,44,2096,219,8,26.54
143,Splatoon,4,2016,157197,13737 hours,1497,79,1359,218,19,11.44
144,Left 4 Dead 2,4,2016,156171,19234 hours,23469,71,5023,217,26,8.12
145,Nioh,4,2016,153537,1382 hours,14762,28,2938,213,1,111.1
146,Duelyst,4,2016,149947,3087 hours,11192,14,366,208,4,48.57
147,Mirror's Edge Catalyst,4,2016,145310,3286 hours,34459,92,1601,202,4,44.22
148,Outlast,4,2016,145128,14396 hours,6553,64,5364,201,20,10.08
149,Puzzle & Dragons,4,2016,145001,3312 hours,2342,16,314,201,4,43.78
150,Pineview Drive,4,2016,144779,194 hours,17921,5,48,201,0,746.28
151,Orcs Must Die! Unchained,4,2016,144382,6827 hours,21127,30,1225,200,9,21.15
152,NHL 16,4,2016,143982,25955 hours,1725,136,5375,200,36,5.55
153,Deus Ex: Human Revolution - Director's Cut,4,2016,142244,567 hours,9920,8,100,197,0,250.87
154,American Truck Simulator,4,2016,141057,11542 hours,2950,42,1902,196,16,12.22
155,Until Dawn,4,2016,137633,1564 hours,10204,11,1576,191,2,88
156,Prime World,4,2016,136071,5323 hours,1160,19,277,189,7,25.56
157,FTL: Faster Than Light,4,2016,136009,2820 hours,3003,15,672,189,3,48.23
158,Pokk<U+00E9>n Tournament,4,2016,135862,6257 hours,5962,34,1075,188,8,21.71
159,Chess,4,2016,135553,2444 hours,3979,14,293,188,3,55.46
160,The Legend of Zelda: Twilight Princess HD,4,2016,134667,5576 hours,3123,27,619,187,7,24.15
161,The Forest,4,2016,133729,9464 hours,3879,43,2058,185,13,14.13
162,Star Citizen,4,2016,133619,6413 hours,1848,23,858,185,8,20.84
163,Final Fantasy VII,4,2016,132932,8007 hours,1633,31,1165,184,11,16.6
164,Quiplash,4,2016,131820,4239 hours,22452,24,1357,183,5,31.1
165,Darkest Dungeon,4,2016,131539,6048 hours,4391,27,1076,182,8,21.75
166,Pok<U+00E9>mon Crystal,4,2016,131102,3028 hours,4299,13,232,182,4,43.3
167,XCOM 2,4,2016,131075,7105 hours,2082,28,909,182,9,18.45
168,Mega Man X,4,2016,130985,3671 hours,1832,28,439,182,5,35.68
169,Super Mario World,4,2016,130289,3072 hours,7110,27,628,181,4,42.41
170,Borderlands: The Handsome Collection,4,2016,128713,9984 hours,6191,52,2145,179,13,12.89
171,Star Fox Zero,4,2016,128524,3184 hours,5125,99,826,178,4,40.37
172,Super Mario Sunshine,4,2016,125775,3158 hours,1820,18,387,174,4,39.83
173,Planet Coaster,4,2016,125333,3206 hours,26903,22,478,174,4,39.09
174,Supernova,4,2016,124653,1503 hours,18709,9,175,173,2,82.94
175,Game & Wario,4,2016,123435,43 hours,23152,4,17,171,0,2870.58
176,Battlefleet Gothic: Armada,4,2016,122976,3914 hours,5338,46,625,171,5,31.42
177,Choice Chamber,4,2016,122710,1179 hours,25929,13,444,170,1,104.08
178,Alien: Isolation,4,2016,122248,7052 hours,4976,35,2420,170,9,17.34
179,Blackjack,4,2016,120602,1106 hours,22363,7,138,167,1,109.04
180,ShellShock Live,4,2016,120179,3445 hours,19489,24,827,167,4,34.89
181,Super Mario Galaxy 2,4,2016,119900,499 hours,10195,8,84,166,0,240.28
182,Roblox,4,2016,119281,23279 hours,4131,97,6873,165,32,5.12
183,Super Metroid,4,2016,117957,3680 hours,1752,26,387,164,5,32.05
184,Age of Empires II,4,2016,116800,2923 hours,1412,13,208,162,4,39.96
185,Call of Duty: Modern Warfare 2,4,2016,115326,6427 hours,9008,27,1754,160,8,17.94
186,Ultimate Marvel vs. Capcom 3,4,2016,113190,735 hours,22743,7,92,157,1,154
187,DiRT Rally,4,2016,112223,22621 hours,3344,148,4291,156,31,4.96
188,Fire Emblem Fates: Special Edition,4,2016,111996,1238 hours,3292,10,95,155,1,90.47
189,Clash of Clans,4,2016,111961,8028 hours,1389,27,1257,155,11,13.95
190,Borderlands 2,4,2016,111727,18194 hours,2129,66,3370,155,25,6.14
191,The Sims 4,4,2016,111086,8076 hours,4889,33,1387,154,11,13.76
192,Don't Starve Together,4,2016,108161,9982 hours,4708,50,2290,150,13,10.84
193,Final Fantasy XV,4,2016,107814,1385 hours,29780,47,4723,149,1,77.84
194,Uncharted: The Nathan Drake Collection,4,2016,107433,3261 hours,24140,18,2755,149,4,32.94
195,Don't Starve,4,2016,104254,6443 hours,1814,25,1456,144,8,16.18
196,Nioh_,4,2016,104130,391 hours,12577,23,236,144,0,266.32
197,Guilty Gear Xrd: Revelator,4,2016,104006,938 hours,12896,9,129,144,1,110.88
198,Company of Heroes 2,4,2016,103490,6404 hours,1370,24,734,143,8,16.16
199,Far Cry: Primal,4,2016,103151,21729 hours,7969,65,5256,143,30,4.75
200,PAYDAY 2,4,2016,102495,20532 hours,2656,87,4126,142,28,4.99
1,League of Legends,5,2016,80679320,1196096 hours,433005,2635,118593,108585,1609,67.45
2,Hearthstone,5,2016,49474945,232247 hours,154779,615,36024,66588,312,213.03
3,Dota 2,5,2016,46816065,310231 hours,321688,778,31165,63009,417,150.91
4,Counter-Strike: Global Offensive,5,2016,44882927,663528 hours,347527,1856,101483,60407,893,67.64
5,Overwatch,5,2016,22098050,834402 hours,302141,9741,140615,29741,1123,26.48
6,Call of Duty: Black Ops III,5,2016,11921661,1027566 hours,75069,2986,187445,16045,1382,11.6
7,World of Warcraft,5,2016,8532283,277450 hours,57379,1008,29295,11483,373,30.75
8,Dark Souls III,5,2016,7436193,393112 hours,35278,1576,60299,10008,529,18.92
9,Minecraft,5,2016,6848639,407008 hours,41069,1215,77629,9217,547,16.83
10,RuneScape,5,2016,5948742,83171 hours,48463,183,8633,8006,111,71.52
11,Talk Shows & Podcasts,5,2016,5336392,46978 hours,64255,166,11569,7182,63,113.59
12,FIFA 16,5,2016,5301413,170151 hours,56085,574,39893,7135,229,31.16
13,World of Tanks,5,2016,5244536,120922 hours,28415,325,13703,7058,162,43.37
14,Destiny,5,2016,4983341,507901 hours,22235,1652,58174,6707,683,9.81
15,Uncharted 4: A Thief's End,5,2016,4556066,140927 hours,102374,739,39491,6131,189,32.33
16,Poker,5,2016,4390316,37504 hours,33131,116,2504,5908,50,117.06
17,Z1: Battle Royale,5,2016,4383272,111976 hours,51081,311,11459,5899,150,39.14
18,StarCraft II,5,2016,4345741,52013 hours,47219,130,5125,5848,70,83.55
19,DOOM,5,2016,4320660,191421 hours,93713,1704,41026,5815,257,22.57
20,Tom Clancy's The Division,5,2016,4149090,292302 hours,21117,846,39857,5584,393,14.19
21,DayZ,5,2016,4109116,64421 hours,41315,199,6866,5530,86,63.79
22,Creative,5,2016,4065264,153262 hours,27277,341,19652,5471,206,26.52
23,Arma 3,5,2016,3312840,92309 hours,40896,312,9159,4458,124,35.89
24,NBA 2K16,5,2016,3200579,190329 hours,22195,641,36682,4307,256,16.82
25,Diablo III,5,2016,3170002,138365 hours,17247,600,16427,4266,186,22.91
26,Total War: Warhammer,5,2016,3142650,28006 hours,40915,418,3617,4229,37,112.21
27,Grand Theft Auto V,5,2016,3062883,298872 hours,39504,919,69649,4122,402,10.25
28,Heroes of the Storm,5,2016,2950737,82744 hours,26765,250,11183,3971,111,35.66
29,SMITE,5,2016,2946881,152509 hours,28594,399,24184,3966,205,19.32
30,Street Fighter V,5,2016,2576951,32672 hours,45219,96,5809,3468,43,78.87
31,Rocket League,5,2016,1943008,135938 hours,23064,422,44772,2615,182,14.29
32,Tom Clancy's Rainbow Six Siege,5,2016,1856155,185962 hours,17742,653,33339,2498,250,9.98
33,Clash Royale,5,2016,1762950,28318 hours,51974,83,4699,2372,38,62.26
34,Magic: The Gathering,5,2016,1749555,14516 hours,18101,50,959,2354,19,120.53
35,Rust,5,2016,1642266,52303 hours,23618,177,6505,2210,70,31.4
36,ARK: Survival Evolved,5,2016,1575997,78838 hours,9510,239,6571,2121,106,19.99
37,Fallout 4,5,2016,1500184,177926 hours,35686,791,32030,2019,239,8.43
38,Super Smash Bros. Melee,5,2016,1479236,12490 hours,68954,59,2115,1990,16,118.43
39,Stellaris,5,2016,1435607,35360 hours,32618,304,4131,1932,47,40.6
40,Super Mario Maker,5,2016,1418108,18998 hours,14642,58,1524,1908,25,74.65
41,The Culling,5,2016,1377690,25635 hours,33117,92,3624,1854,34,53.74
42,Music,5,2016,1286998,28375 hours,6066,86,4561,1732,38,45.36
43,The Witcher 3: Wild Hunt,5,2016,1260978,67863 hours,41007,596,12472,1697,91,18.58
44,Battlefield 4,5,2016,1235842,129318 hours,482854,355,32579,1663,174,9.56
45,Pok<U+00E9>mon Omega Ruby/Alpha Sapphire,5,2016,1137794,23819 hours,7570,64,1690,1531,32,47.77
46,Battleborn,5,2016,1135755,74377 hours,17067,610,11121,1528,100,15.27
47,Path of Exile,5,2016,1118968,38867 hours,17611,201,3185,1506,52,28.79
48,Super Smash Bros. for Wii U,5,2016,1100697,17541 hours,28685,76,2258,1481,23,62.75
49,Halo 5: Guardians,5,2016,1088940,72193 hours,24978,249,12666,1465,97,15.08
50,Warcraft III,5,2016,890484,17219 hours,11151,55,1208,1198,23,51.72
51,Dungeons & Dragons,5,2016,703345,9034 hours,26373,53,930,946,12,77.86
52,Gang Beasts,5,2016,659386,1504 hours,48314,18,591,887,2,438.42
53,Black Desert Online,5,2016,633044,41136 hours,3089,121,3850,852,55,15.39
54,osu!,5,2016,625484,65453 hours,37612,184,13758,841,88,9.56
55,Enter the Gungeon,5,2016,621517,18663 hours,7497,68,4456,836,25,33.3
56,Mortal Kombat X,5,2016,605739,24126 hours,21265,79,6764,815,32,25.11
57,Blade & Soul,5,2016,599449,40557 hours,4882,140,3666,806,54,14.78
58,Lineage II: The Chaotic Throne - The 1st Throne: The Kamael,5,2016,585583,16646 hours,5060,62,1003,788,22,35.18
59,The Binding of Isaac: Afterbirth,5,2016,564210,14743 hours,8940,43,2517,759,19,38.27
60,Final Fantasy X/X-2 HD Remaster,5,2016,563428,38217 hours,29707,174,4487,758,51,14.74
61,Subnautica,5,2016,491481,12710 hours,17107,63,3281,661,17,38.67
62,Dark Souls,5,2016,463616,33781 hours,23491,93,4838,623,45,13.72
63,Madden NFL 16,5,2016,462481,109355 hours,3224,376,18328,622,147,4.23
64,EA Sports UFC 2,5,2016,449473,26164 hours,30039,88,6349,604,35,17.18
65,Team Fortress 2,5,2016,438525,25541 hours,31233,84,5266,590,34,17.17
66,World of Warships,5,2016,428026,27601 hours,3643,80,3129,576,37,15.51
67,Garry's Mod,5,2016,424699,27273 hours,7222,103,6173,571,36,15.57
68,Super Mario 64,5,2016,409233,8940 hours,8400,29,1081,550,12,45.78
69,Summoners War: Sky Arena,5,2016,408501,13143 hours,3880,43,816,549,17,31.08
70,Paragon,5,2016,407350,55005 hours,6352,156,6935,548,74,7.41
71,EVE Online,5,2016,403072,11337 hours,3259,36,1054,542,15,35.55
72,Town of Salem,5,2016,389215,9298 hours,39304,33,2298,523,12,41.86
73,Tibia,5,2016,382399,14333 hours,2501,48,1131,514,19,26.68
74,Sid Meier's Civilization V,5,2016,380614,13205 hours,5955,54,2459,512,17,28.82
75,Stardew Valley,5,2016,377044,21589 hours,13028,76,3597,507,29,17.46
76,Retro,5,2016,363612,13007 hours,5243,36,979,489,17,27.96
77,M.U.G.E.N,5,2016,363537,1630 hours,857,6,56,489,2,223.03
78,Diablo II: Lord of Destruction,5,2016,362223,7640 hours,3779,48,677,487,10,47.41
79,Call of Duty: Black Ops,5,2016,351924,17676 hours,8719,175,4435,473,23,19.91
80,Kerbal Space Program,5,2016,342671,10441 hours,6348,36,1353,461,14,32.82
81,Vainglory,5,2016,342504,8531 hours,9603,31,678,460,11,40.15
82,Homefront: The Revolution,5,2016,339243,5431 hours,44004,58,2381,456,7,62.46
83,Kantai Collection,5,2016,339197,22769 hours,4125,143,1318,456,30,14.9
84,Guild Wars 2,5,2016,332588,22354 hours,3789,78,2526,447,30,14.88
85,Warframe,5,2016,316704,68603 hours,11362,188,11481,426,92,4.62
86,Final Fantasy XIV: Heavensward,5,2016,305008,36029 hours,10178,187,5575,410,48,8.47
87,The Legend of Zelda: Majora's Mask,5,2016,299256,4357 hours,4245,18,393,402,5,68.68
88,Golf With Your Friends,5,2016,293677,3808 hours,34881,29,1582,395,5,77.12
89,The Elder Scrolls Online,5,2016,287973,43255 hours,1647,114,7190,387,58,6.66
90,Cities: Skylines,5,2016,283658,7143 hours,29307,30,1317,381,9,39.71
91,Borderlands 2,5,2016,282444,17069 hours,6131,53,3434,380,22,16.55
92,The Last of Us,5,2016,275655,27815 hours,7494,86,5609,371,37,9.91
93,Super Mario Sunshine,5,2016,272779,3660 hours,7569,19,448,367,4,74.53
94,RimWorld,5,2016,269466,6834 hours,8795,26,648,362,9,39.43
95,Tree of Savior,5,2016,269082,23252 hours,1191,84,2455,362,31,11.57
96,Farming Simulator 15,5,2016,255404,28180 hours,3268,104,3326,343,37,9.06
97,Call of Duty: Black Ops II,5,2016,253799,26762 hours,9669,87,4604,341,36,9.48
98,Killer Instinct,5,2016,253365,6808 hours,14779,30,1947,341,9,37.22
99,MLB The Show 16,5,2016,250527,6874 hours,11938,26,4375,337,9,36.45
100,Euro Truck Simulator 2,5,2016,250121,26229 hours,2758,102,3758,336,35,9.54
101,TrackMania 2: Stadium,5,2016,249970,1447 hours,20048,40,326,336,1,172.75
102,Outlast,5,2016,249929,19653 hours,10151,93,7678,336,26,12.72
103,DC Universe Online,5,2016,249825,33363 hours,2002,153,7385,336,44,7.49
104,The Elder Scrolls V: Skyrim,5,2016,243392,25972 hours,12250,68,3979,327,34,9.37
105,Heroes of Newerth,5,2016,240462,8777 hours,2195,29,641,323,11,27.4
106,Bloodborne,5,2016,233648,38583 hours,5392,119,7563,314,51,6.06
107,Dragon Quest Builders,5,2016,229323,1428 hours,7566,12,108,308,1,160.59
108,Casino Games,5,2016,226331,3971 hours,2286,16,360,304,5,57
109,The Legend of Zelda: Ocarina of Time,5,2016,225025,9480 hours,3058,46,935,302,12,23.74
110,Terraria,5,2016,223453,22846 hours,4527,80,4905,300,30,9.78
111,HITMAN,5,2016,219689,10924 hours,41308,68,3161,295,14,20.11
112,Youtubers Life,5,2016,217595,3634 hours,42861,44,1181,292,4,59.88
113,Microsoft Flight Simulator X,5,2016,210837,16703 hours,1640,63,1174,283,22,12.62
114,Danganronpa 2: Goodbye Despair,5,2016,206595,3112 hours,10410,14,250,278,4,66.39
115,Uncharted: The Nathan Drake Collection,5,2016,206285,6771 hours,4719,39,5539,277,9,30.47
116,7 Days to Die,5,2016,195722,11696 hours,4507,44,1245,263,15,16.73
117,Twitch Plays,5,2016,194862,10429 hours,860,21,97,262,14,18.68
118,Until Dawn,5,2016,194241,1526 hours,8798,11,1574,261,2,127.29
119,Guilty Gear Xrd: Revelator,5,2016,189754,2722 hours,16431,63,527,255,3,69.71
120,Slither.io,5,2016,186314,13629 hours,6792,59,6161,250,18,13.67
121,Puzzle & Dragons,5,2016,184962,3763 hours,5118,19,327,248,5,49.15
122,Final Fantasy IX,5,2016,181099,10061 hours,2663,39,1150,243,13,18
123,Parkitect,5,2016,177633,863 hours,32775,11,258,239,1,205.83
124,War Thunder,5,2016,177178,22978 hours,1943,77,4048,238,30,7.71
125,Star Wars Battlefront,5,2016,176777,38830 hours,2119,189,0,237,52,4.55
126,Super Mario 3D World,5,2016,168192,703 hours,10049,7,191,226,0,239.25
127,HEX: Shards of Fate,5,2016,167989,3917 hours,7541,20,299,226,5,42.89
128,Call of Duty 4: Modern Warfare,5,2016,166077,5273 hours,29734,34,1491,223,7,31.5
129,Just Survive,5,2016,164737,8777 hours,4400,33,1305,221,11,18.77
130,Blackwake,5,2016,162350,351 hours,32110,14,114,218,0,462.54
131,TERA,5,2016,160548,17983 hours,5919,103,2104,216,24,8.93
132,MapleStory,5,2016,159259,10645 hours,774,31,1015,214,14,14.96
133,Dofus,5,2016,157489,7916 hours,2448,32,805,211,10,19.9
134,FTL: Faster Than Light,5,2016,157367,2929 hours,2837,15,677,211,3,53.73
135,XCOM 2,5,2016,157256,7580 hours,2043,32,939,211,10,20.75
136,Dreadnought,5,2016,156877,6033 hours,8320,66,1143,211,8,26
137,Super Metroid,5,2016,156705,4844 hours,1496,26,452,210,6,32.35
138,Mario Kart 8,5,2016,155186,4675 hours,6258,28,1064,208,6,33.19
139,American Truck Simulator,5,2016,154585,10681 hours,3528,52,1906,208,14,14.47
140,Darkest Dungeon,5,2016,153495,6111 hours,4056,31,1131,206,8,25.12
141,Salt and Sanctuary,5,2016,152212,6837 hours,12486,61,1529,204,9,22.26
142,Clash of Clans,5,2016,149704,8952 hours,2545,34,1833,201,12,16.72
143,Games + Demos,5,2016,145085,3108 hours,14458,14,748,195,4,46.68
144,NBA 2K15,5,2016,144392,17008 hours,2113,77,4210,194,22,8.49
145,Elite: Dangerous,5,2016,144313,17416 hours,2273,63,2067,194,23,8.29
146,PlanetSide 2,5,2016,143718,13700 hours,37730,55,2730,193,18,10.49
147,Geometry Dash,5,2016,143034,15569 hours,1255,62,2480,192,20,9.19
148,Pok<U+00E9>mon Red/Blue,5,2016,142057,2926 hours,3218,13,524,191,3,48.55
149,The Forest,5,2016,136607,11066 hours,4860,41,2392,183,14,12.34
150,Quiplash,5,2016,136432,4477 hours,24468,24,1495,183,6,30.47
151,Ultimate Marvel vs. Capcom 3,5,2016,134472,655 hours,15455,6,101,180,0,205.3
152,Final Fantasy VII,5,2016,133536,7793 hours,3550,25,1168,179,10,17.14
153,Left 4 Dead 2,5,2016,132869,15837 hours,4004,58,4357,178,21,8.39
154,Prime World,5,2016,132863,5544 hours,1131,18,275,178,7,23.97
155,Splatoon,5,2016,130388,13103 hours,1747,76,1402,175,17,9.95
156,Yakuza 0,5,2016,127883,439 hours,5126,5,27,172,0,291.31
157,Secret Hitler,5,2016,127220,176 hours,33336,5,56,171,0,722.84
158,Pro Evolution Soccer 2016,5,2016,126612,7592 hours,8362,34,1694,170,10,16.68
159,The Legend of Zelda: A Link to the Past,5,2016,125857,4223 hours,5255,26,492,169,5,29.8
160,Monstrum,5,2016,125707,539 hours,34880,8,196,169,0,233.22
161,Heroes of Might and Magic III: The Shadow of Death,5,2016,125271,2231 hours,1196,14,146,168,3,56.15
162,Roblox,5,2016,125130,27174 hours,6795,111,8952,168,36,4.6
163,Duelyst,5,2016,124694,2985 hours,9493,13,421,167,4,41.77
